date,region,temperature_c,energy_kwh,season
2020-01-01,North,20.9,51.7,Winter
2020-01-02,North,16.5,111.2,Winter
2020-01-03,North,19.0,65.2,Winter
2020-01-04,North,19.8,54.7,Winter
2020-01-05,North,18.9,72.1,Winter
2020-01-06,North,17.7,89.8,Winter
2020-01-07,North,20.7,50.5,Winter
2020-01-08,North,20.0,58.2,Winter
2020-01-09,North,21.5,50.6,Winter
2020-01-10,North,17.7,88.6,Winter
2020-01-11,North,23.9,53.5,Winter
2020-01-12,North,16.9,105.8,Winter
2020-01-13,North,20.1,51.7,Winter
2020-01-14,North,25.9,82.3,Winter
2020-01-15,North,23.4,58.1,Winter
2020-01-16,North,20.0,54.4,Winter
2020-01-17,North,22.0,48.0,Winter
2020-01-18,North,20.2,56.2,Winter
2020-01-19,North,21.5,51.2,Winter
2020-01-20,North,21.4,50.2,Winter
2020-01-21,North,20.6,54.8,Winter
2020-01-22,North,20.9,53.8,Winter
2020-01-23,North,22.7,52.6,Winter
2020-01-24,North,22.2,46.5,Winter
2020-01-25,North,24.0,59.8,Winter
2020-01-26,North,22.6,45.4,Winter
2020-01-27,North,23.6,58.7,Winter
2020-01-28,North,25.2,69.3,Winter
2020-01-29,North,21.0,52.3,Winter
2020-01-30,North,23.3,52.4,Winter
2020-01-31,North,23.3,53.6,Winter
2020-02-01,North,25.5,74.2,Winter
2020-02-02,North,22.8,51.2,Winter
2020-02-03,North,24.2,63.2,Winter
2020-02-04,North,21.9,54.2,Winter
2020-02-05,North,23.4,56.1,Winter
2020-02-06,North,22.3,51.7,Winter
2020-02-07,North,26.8,99.3,Winter
2020-02-08,North,23.7,56.5,Winter
2020-02-09,North,24.9,68.0,Winter
2020-02-10,North,28.1,128.2,Winter
2020-02-11,North,23.5,59.6,Winter
2020-02-12,North,21.9,45.9,Winter
2020-02-13,North,25.0,67.1,Winter
2020-02-14,North,23.9,56.7,Winter
2020-02-15,North,22.6,46.0,Winter
2020-02-16,North,23.6,52.4,Winter
2020-02-17,North,25.0,67.7,Winter
2020-02-18,North,22.1,52.5,Winter
2020-02-19,North,26.9,96.3,Winter
2020-02-20,North,27.0,103.7,Winter
2020-02-21,North,22.7,47.3,Winter
2020-02-22,North,28.0,124.4,Winter
2020-02-23,North,24.2,61.2,Winter
2020-02-24,North,24.2,59.7,Winter
2020-02-25,North,27.5,107.1,Winter
2020-02-26,North,25.1,72.5,Winter
2020-02-27,North,27.1,100.0,Winter
2020-02-28,North,29.8,170.8,Winter
2020-02-29,North,25.0,65.5,Winter
2020-03-01,North,28.4,139.9,Spring
2020-03-02,North,23.4,55.4,Spring
2020-03-03,North,26.5,91.4,Spring
2020-03-04,North,28.2,129.3,Spring
2020-03-05,North,28.3,132.4,Spring
2020-03-06,North,25.9,86.6,Spring
2020-03-07,North,26.1,79.4,Spring
2020-03-08,North,26.9,96.2,Spring
2020-03-09,North,30.0,178.1,Spring
2020-03-10,North,26.0,85.1,Spring
2020-03-11,North,27.4,110.0,Spring
2020-03-12,North,32.4,264.8,Spring
2020-03-13,North,31.3,223.5,Spring
2020-03-14,North,29.1,150.8,Spring
2020-03-15,North,26.3,91.1,Spring
2020-03-16,North,28.1,127.2,Spring
2020-03-17,North,26.5,86.5,Spring
2020-03-18,North,27.1,107.1,Spring
2020-03-19,North,26.5,89.8,Spring
2020-03-20,North,27.2,103.3,Spring
2020-03-21,North,28.3,124.6,Spring
2020-03-22,North,23.4,53.3,Spring
2020-03-23,North,28.7,139.8,Spring
2020-03-24,North,26.8,95.4,Spring
2020-03-25,North,27.2,105.3,Spring
2020-03-26,North,27.1,98.7,Spring
